,Abb,State,Median Listing Price,active_listing_count,Days in the market
0,AK,Alaska,313888.0,2176.0,82.0
1,AL,Alabama,243107.0,12926.0,74.0
2,AR,Arkansas,209802.0,7417.0,82.0
3,AZ,Arizona,405379.0,11250.0,57.0
4,CA,California,899626.0,50024.0,52.0
5,CO,Colorado,620860.0,18207.0,59.0
6,CT,Connecticut,454307.0,16211.0,56.0
7,DC,Washington DC,750126.0,1478.0,35.0
8,DE,Delaware,372163.0,2471.0,81.0
9,FL,Florida,362214.0,106491.0,76.0
10,GA,Georgia,312782.0,41389.0,66.0
11,HI,Hawaii,861279.0,6683.0,96.0
12,IA,Iowa,208378.0,9095.0,95.0
13,ID,Idaho,472567.0,3873.0,54.0
14,IL,Illinois,244903.0,39271.0,110.0
15,IN,Indiana,232941.0,8668.0,56.0
16,KS,Kansas,238269.0,4399.0,68.0
17,KY,Kentucky,244323.0,6529.0,68.0
18,LA,Louisiana,243732.0,11747.0,90.0
19,MA,Massachusetts,741764.0,11047.0,48.0
20,MD,Maryland,438139.0,9160.0,50.0
21,ME,Maine,356555.0,3650.0,82.0
22,MI,Michigan,262025.0,22002.0,63.0
23,MN,Minnesota,325261.0,13542.0,56.0
24,MO,Missouri,242445.0,11655.0,70.0
25,MS,Mississippi,202621.0,5991.0,94.0
26,MT,Montana,432497.0,3529.0,95.0
27,NC,North Carolina,358722.0,23795.0,73.0
28,ND,North Dakota,226412.0,2266.0,105.0
29,NE,Nebraska,261481.0,3036.0,87.0
30,NH,New Hampshire,411668.0,2012.0,57.0
31,NJ,New Jersey,526601.0,29183.0,48.0
32,NM,New Mexico,342818.0,4692.0,91.0
33,NV,Nevada,459976.0,9905.0,51.0
34,NY,New York,562900.0,64429.0,93.0
35,OH,Ohio,240745.0,14377.0,53.0
36,OK,Oklahoma,238831.0,8120.0,64.0
37,OR,Oregon,480794.0,8497.0,63.0
38,PA,Pennsylvania,299438.0,21391.0,70.0
39,RI,Rhode Island,527757.0,1670.0,52.0
40,SC,South Carolina,322616.0,18550.0,75.0
41,SD,South Dakota,273521.0,2588.0,64.0
42,TN,Tennessee,329460.0,14142.0,61.0
43,TX,Texas,310164.0,70887.0,63.0
44,UT,Utah,530918.0,6380.0,47.0
45,VA,Virginia,407938.0,17490.0,66.0
46,VT,Vermont,351921.0,1949.0,97.0
47,WA,Washington,561217.0,12175.0,42.0
48,WI,Wisconsin,282302.0,11047.0,68.0
49,WV,West Virginia,205309.0,3576.0,90.0
50,WY,Wyoming,409838.0,2344.0,73.0
